ID,Categoría,Bebida,Formato,Coste (€),PVP carta (€),Margen (€),Coste sobre PVP
BEB-01,Cervezas,Cerveza de barril (Caña),Barril 50L (33 cl),"0,35","3,00","2,65","11,7%"
BEB-02,Cervezas,Cerveza de barril (Doble / Pinta),Barril 50L (50 cl),"0,52","4,50","3,98","11,6%"
BEB-03,Cervezas,Tercio cerveza especial / IPA,Botellín 33 cl,"0,78","4,00","3,22","19,5%"
BEB-04,Cervezas,"Cerveza 0,0% / Sin Gluten",Botellín 33 cl,"0,65","3,50","2,85","18,6%"
BEB-05,Vinos Blancos,Vino Blanco de la Casa (Sin D.O.),Botella 75 cl (Copa 15 cl),"0,36","2,80","2,44","12,9%"
BEB-06,Vinos Blancos,Vino Blanco D.O. Rueda Verdejo,Botella 75 cl (Copa 15 cl),"0,70","3,80","3,10","18,4%"
BEB-07,Vinos Blancos,Vino Blanco D.O. Rías Baixas Albariño,Botella 75 cl (Copa 15 cl),"1,10","4,80","3,70","22,9%"
BEB-08,Vinos Tintos,Vino Tinto de la Casa (Sin D.O.),Botella 75 cl (Copa 15 cl),"0,38","2,80","2,42","13,6%"
BEB-09,Vinos Tintos,Vino Tinto D.O. Ca. Rioja Crianza,Botella 75 cl (Copa 15 cl),"0,85","4,20","3,35","20,2%"
BEB-10,Vinos Tintos,Vino Tinto D.O. Ribera del Duero Roble,Botella 75 cl (Copa 15 cl),"0,95","4,50","3,55","21,1%"
BEB-11,Vinos Tintos,Vino Tinto D.O. Ca. Rioja Reserva,Botella 75 cl (Copa 15 cl),"1,60","6,00","4,40","26,7%"
BEB-12,Espumosos,Cava Brut Reserva D.O. Penedès,Botella 75 cl (Copa 12 cl),"0,80","4,50","3,70","17,8%"
BEB-13,Espumosos,Champagne Francés AOC (Brut),Botella 75 cl (Copa 12 cl),"4,50","14,00","9,50","32,1%"
BEB-14,Refrescos y Aguas,Agua mineral natural sin gas,Botella vidrio 50 cl,"0,22","2,50","2,28","8,8%"
BEB-15,Refrescos y Aguas,Agua mineral con gas,Botella vidrio 33 cl,"0,30","2,80","2,50","10,7%"
BEB-16,Refrescos y Aguas,Refresco Coca-Cola / Zero / Light,"Botella vidrio 23,7 cl / Lata","0,42","3,00","2,58","14,0%"
BEB-17,Refrescos y Aguas,Refresco Fanta / Sprite / Aquarius,Botella vidrio / Lata 33 cl,"0,40","3,00","2,60","13,3%"
BEB-18,Refrescos y Aguas,Tónica Prémium (Royal Bliss / Fever Tree),Botella vidrio 20 cl,"0,65","3,50","2,85","18,6%"
BEB-19,Refrescos y Aguas,Zumo de naranja natural recién exprimido,Vaso 25 cl (3 naranjas),"0,48","3,20","2,72","15,0%"
BEB-20,Cafetería,Café Espresso solo / cortado,Dosis 8 g café 100% arábica,"0,12","1,80","1,68","6,7%"
BEB-21,Cafetería,Café con leche / Capuchino,Dosis café + 120 ml leche fresca,"0,22","2,20","1,98","10,0%"
BEB-22,Cafetería,Infusiones pirámide prémium,Pirámide monodosis,"0,18","2,20","2,02","8,2%"
BEB-23,Cafetería,Café especial Bombón / Carajillo,Dosis café + condensada / licor,"0,38","3,00","2,62","12,7%"
BEB-24,Copas y Destilados,Chupito licor tradicional (Hierbas/Orujo),Chupito 4 cl,"0,30","3,00","2,70","10,0%"
BEB-25,Copas y Destilados,"Copa / Combinado estándar (Gin, Ron, Whisky)",Copa 5 cl + Refresco mixer,"1,45","8,50","7,05","17,1%"
BEB-26,Copas y Destilados,Copa / Combinado Prémium (Ginebra/Whisky),Copa 5 cl + Mixer tónica,"2,40","12,00","9,60","20,0%"
BEB-27,Packs Barra Abierta,Barra Abierta Cerveza/Vino/Refrescos (1h),Por persona / 1 hora,"1,40","7,00","5,60","20,0%"
BEB-28,Packs Barra Abierta,Barra Abierta Prémium con Vinos D.O. (2h),Por persona / 2 horas,"2,70","14,00","11,30","19,3%"
BEB-29,Packs Barra Abierta,Barra Libre Copas / Combinados (2h),Por persona / 2 horas,"4,20","18,00","13,80","23,3%"
