ID,Bocado,Tipo,Coste MP (€),Menú,PVP menú (€ sin IVA),Food cost menú
BOC-01,Cuchara de tartar de aguacate y mango,Frío,"0,384",After-work & Networking,"22,73","19,2%"
BOC-02,Chupito de salmorejo con jamón,Frío,"0,359",After-work & Networking,"22,73","19,2%"
BOC-03,Wonton de salmón marinado,Frío,"0,647",After-work & Networking,"22,73","19,2%"
BOC-04,Croquetas de jamón ibérico,Caliente,"0,440",After-work & Networking,"22,73","19,2%"
BOC-05,Mini focaccia Margarita,Caliente,"0,487",After-work & Networking,"22,73","19,2%"
BOC-06,Mini taco de costilla,Caliente,"0,722",After-work & Networking,"22,73","19,2%"
BOC-07,Brocheta de pollo al chimichurri,Caliente,"0,573",After-work & Networking,"22,73","19,2%"
BOC-08,Mini brownie con nueces,Dulce,"0,373",After-work & Networking,"22,73","19,2%"
BOC-09,Chupito de tiramisú,Dulce,"0,387",After-work & Networking,"22,73","19,2%"
BOC-10,Cuchara de atún al ponzu,Frío,"0,748",Trend & Bistró Madrid,"29,09","22,0%"
BOC-11,Chupito de burrata y pesto,Frío,"0,737",Trend & Bistró Madrid,"29,09","22,0%"
BOC-12,Roll de pastrami y pecorino,Frío,"0,603",Trend & Bistró Madrid,"29,09","22,0%"
BOC-13,Chupito de remolacha y queso,Frío,"0,345",Trend & Bistró Madrid,"29,09","22,0%"
BOC-14,Croquetas de jamón ibérico,Caliente,"0,440",Trend & Bistró Madrid,"29,09","22,0%"
BOC-15,Mini brioche de costilla barbacoa,Caliente,"0,791",Trend & Bistró Madrid,"29,09","22,0%"
BOC-16,Focaccia Diavola,Caliente,"0,635",Trend & Bistró Madrid,"29,09","22,0%"
BOC-17,Mini taco de pollo crujiente,Caliente,"0,550",Trend & Bistró Madrid,"29,09","22,0%"
BOC-18,Bocado de patata trufada,Caliente,"0,366",Trend & Bistró Madrid,"29,09","22,0%"
BOC-19,Bocado de tarta de queso,Dulce,"0,535",Trend & Bistró Madrid,"29,09","22,0%"
BOC-20,Mini brownie con nueces,Dulce,"0,373",Trend & Bistró Madrid,"29,09","22,0%"
BOC-21,Brocheta de fruta con menta,Dulce,"0,282",Trend & Bistró Madrid,"29,09","22,0%"
BOC-22,Cuchara de Steak Tartar,Frío,"0,980",Celebración Corporativa,"36,36","27,2%"
BOC-23,Tiradito de atún y aguacate,Frío,"0,748",Celebración Corporativa,"36,36","27,2%"
BOC-24,Cono de ensaladilla y bonito,Frío,"0,460",Celebración Corporativa,"36,36","27,2%"
BOC-25,Cuchara de burrata y piñones,Frío,"0,737",Celebración Corporativa,"36,36","27,2%"
BOC-26,Brocheta de pastrami y encurtidos,Frío,"0,603",Celebración Corporativa,"36,36","27,2%"
BOC-27,Croqueta ibérica con velo,Caliente,"0,440",Celebración Corporativa,"36,36","27,2%"
BOC-28,Mini burger 5Iron,Caliente,"1,014",Celebración Corporativa,"36,36","27,2%"
BOC-29,Mini taco de presa ibérica,Caliente,"0,841",Celebración Corporativa,"36,36","27,2%"
BOC-30,Focaccia de guanciale y pecorino,Caliente,"0,698",Celebración Corporativa,"36,36","27,2%"
BOC-31,Brocheta de solomillo al Pedro Ximénez,Caliente,"0,929",Celebración Corporativa,"36,36","27,2%"
BOC-32,Mini brioche de costilla barbacoa,Caliente,"0,791",Celebración Corporativa,"36,36","27,2%"
BOC-33,Chupito de mousse de chocolate y sal,Dulce,"0,427",Celebración Corporativa,"36,36","27,2%"
BOC-34,Bocado de tarta de queso,Dulce,"0,535",Celebración Corporativa,"36,36","27,2%"
BOC-35,Chupito de tiramisú,Dulce,"0,387",Celebración Corporativa,"36,36","27,2%"
BOC-36,Brocheta de fruta con menta,Dulce,"0,282",Celebración Corporativa,"36,36","27,2%"
BOC-37,Copa de Cava Brut Reserva,Brindis,"0,900",Gala & Grand Selection,"45,45","28,6%"
BOC-38,Cuchara de Steak Tartar trufado,Frío,"0,980",Gala & Grand Selection,"45,45","28,6%"
BOC-39,Cuchara de salmón y mango,Frío,"0,647",Gala & Grand Selection,"45,45","28,6%"
BOC-40,Mini taco de atún y aguacate,Frío,"0,748",Gala & Grand Selection,"45,45","28,6%"
BOC-41,Montadito de jamón ibérico,Frío,"0,836",Gala & Grand Selection,"45,45","28,6%"
BOC-42,Chupito de burrata y pesto,Frío,"0,737",Gala & Grand Selection,"45,45","28,6%"
BOC-43,Chupito de salmorejo con jamón,Frío,"0,359",Gala & Grand Selection,"45,45","28,6%"
BOC-44,Dúo de croquetas (jamón y queso),Caliente,"0,858",Gala & Grand Selection,"45,45","28,6%"
BOC-45,Mini burger 5Iron,Caliente,"1,014",Gala & Grand Selection,"45,45","28,6%"
BOC-46,Brocheta de solomillo al Pedro Ximénez,Caliente,"0,929",Gala & Grand Selection,"45,45","28,6%"
BOC-47,Brocheta de presa al chimichurri,Caliente,"0,829",Gala & Grand Selection,"45,45","28,6%"
BOC-48,Mini taco de costilla,Caliente,"0,722",Gala & Grand Selection,"45,45","28,6%"
BOC-49,Mini pepito de ternera,Caliente,"0,998",Gala & Grand Selection,"45,45","28,6%"
BOC-50,Focaccia de alcachofa y guanciale,Caliente,"0,698",Gala & Grand Selection,"45,45","28,6%"
BOC-51,Chupito de mousse de chocolate y sal,Dulce,"0,427",Gala & Grand Selection,"45,45","28,6%"
BOC-52,Bocado de tarta de queso,Dulce,"0,535",Gala & Grand Selection,"45,45","28,6%"
BOC-53,Mini brownie con nueces,Dulce,"0,373",Gala & Grand Selection,"45,45","28,6%"
BOC-54,Chupito de tiramisú,Dulce,"0,387",Gala & Grand Selection,"45,45","28,6%"

RESUMEN POR MENÚ,,,,,,
Menú,Bocados,Coste MP (€),PVP sin IVA (€),PVP con IVA 10% (€),Food cost,Margen bruto (€)
After-work & Networking,9,"4,372","22,73","25,00","19,2%","18,36"
Trend & Bistró Madrid,12,"6,405","29,09","32,00","22,0%","22,69"
Celebración Corporativa,15,"9,872","36,36","40,00","27,2%","26,49"
Gala & Grand Selection,18,"12,977","45,45","50,00","28,6%","32,47"
